NIST,CJIS
CM-7a.,5.10.1
CM-7b.,5.10.1
CM-7 (1)(b),5.10.1
CM-7 (1)(a),5.10.1
CM-7 (1),5.10.1
CM-7 (2),5.10.1
CM-7 (3),5.10.1
CM-7 (4)(c),5.10.1
CM-7 (4)(b),5.10.1
CM-7 (4)(a),5.10.1
CM-7 (4),5.10.1
CM-7 (5)(c),5.10.1
CM-7 (5)(b),5.10.1
CM-7 (5)(a),5.10.1
CM-7 (5),5.10.1
CM-7,5.10.1
AC-4 (1),5.10.1.1
AC-4 (2),5.10.1.1
AC-4 (3),5.10.1.1
AC-4 (4),5.10.1.1
AC-4 (5),5.10.1.1
AC-4 (6),5.10.1.1
AC-4 (7),5.10.1.1
AC-4 (8),5.10.1.1
AC-4 (9),5.10.1.1
AC-4 (10),5.10.1.1
AC-4 (11),5.10.1.1
AC-4 (12),5.10.1.1
AC-4 (13),5.10.1.1
AC-4 (14),5.10.1.1
AC-4 (15),5.10.1.1
AC-4 (16),5.10.1.1
AC-4 (17),5.10.1.1
AC-4 (18),5.10.1.1
AC-4 (19),5.10.1.1
AC-4 (20),5.10.1.1
AC-4 (21),5.10.1.1
AC-4 (22),5.10.1.1
AC-4,5.10.1.1
CM-7a.,5.10.1.1
CM-7b.,5.10.1.1
CM-7 (1)(b),5.10.1.1
CM-7 (1)(a),5.10.1.1
CM-7 (1),5.10.1.1
CM-7 (2),5.10.1.1
CM-7 (3),5.10.1.1
CM-7 (4)(c),5.10.1.1
CM-7 (4)(b),5.10.1.1
CM-7 (4)(a),5.10.1.1
CM-7 (4),5.10.1.1
CM-7 (5)(c),5.10.1.1
CM-7 (5)(b),5.10.1.1
CM-7 (5)(a),5.10.1.1
CM-7 (5),5.10.1.1
CM-7,5.10.1.1
SC-5 (3)(b),5.10.1.1
SC-5 (3)(a),5.10.1.1
SC-5 (3),5.10.1.1
SC-5 (2),5.10.1.1
SC-5 (1),5.10.1.1
SC-5,5.10.1.1
SC-7 (23),5.10.1.1
SC-7 (22),5.10.1.1
SC-7 (21),5.10.1.1
SC-7 (20),5.10.1.1
SC-7 (19),5.10.1.1
SC-7 (18),5.10.1.1
SC-7 (17),5.10.1.1
SC-7 (16),5.10.1.1
SC-7 (15),5.10.1.1
SC-7 (14),5.10.1.1
SC-7 (13),5.10.1.1
SC-7 (12),5.10.1.1
SC-7 (11),5.10.1.1
SC-7 (10),5.10.1.1
SC-7 (9)(b),5.10.1.1
SC-7 (9)(a),5.10.1.1
SC-7 (9),5.10.1.1
SC-7 (8),5.10.1.1
SC-7 (7),5.10.1.1
SC-7 (6),5.10.1.1
SC-7 (5),5.10.1.1
SC-7 (4)(e),5.10.1.1
SC-7 (4)(d),5.10.1.1
SC-7 (4)(c),5.10.1.1
SC-7 (4)(b),5.10.1.1
SC-7 (4)(a),5.10.1.1
SC-7 (4),5.10.1.1
SC-7 (3),5.10.1.1
SC-7 (2),5.10.1.1
SC-7 (1),5.10.1.1
SC-7c.,5.10.1.1
SC-7b.,5.10.1.1
SC-7a.,5.10.1.1
SC-7,5.10.1.1
IA-7,5.10.1.2
SC-13 (4),5.10.1.2
SC-13 (3),5.10.1.2
SC-13 (2),5.10.1.2
SC-13 (1),5.10.1.2
SC-13,5.10.1.2
IA-5 (15),5.10.1.2
IA-5 (14),5.10.1.2
IA-5 (13),5.10.1.2
IA-5 (12),5.10.1.2
IA-5 (11),5.10.1.2
IA-5 (10),5.10.1.2
IA-5 (9),5.10.1.2
IA-5 (8),5.10.1.2
IA-5 (7),5.10.1.2
IA-5 (6),5.10.1.2
IA-5 (5),5.10.1.2
IA-5 (4),5.10.1.2
IA-5 (3),5.10.1.2
IA-5 (2)(d),5.10.1.2
IA-5 (2)(c),5.10.1.2
IA-5 (2)(b),5.10.1.2
IA-5 (2)(a),5.10.1.2
IA-5 (2),5.10.1.2
IA-5 (1)(f),5.10.1.2
IA-5 (1)(e),5.10.1.2
IA-5 (1)(d),5.10.1.2
IA-5 (1)(c),5.10.1.2
IA-5 (1)(b),5.10.1.2
IA-5 (1)(a),5.10.1.2
IA-5 (1),5.10.1.2
IA-5j.,5.10.1.2
IA-5i.,5.10.1.2
IA-5h.,5.10.1.2
IA-5g.,5.10.1.2
IA-5f.,5.10.1.2
IA-5e.,5.10.1.2
IA-5d.,5.10.1.2
IA-5c.,5.10.1.2
IA-5b.,5.10.1.2
IA-5a.,5.10.1.2
IA-5,5.10.1.2
SC-28 (2),5.10.1.3
SC-28 (1),5.10.1.3
SC-28,5.10.1.3
SI-7 (16),5.10.1.3
SI-7 (15),5.10.1.3
SI-7 (14)(b),5.10.1.3
SI-7 (14)(a),5.10.1.3
SI-7 (14),5.10.1.3
SI-7 (13),5.10.1.3
SI-7 (12),5.10.1.3
SI-7 (11),5.10.1.3
SI-7 (10),5.10.1.3
SI-7 (9),5.10.1.3
SI-7 (8),5.10.1.3
SI-7 (7),5.10.1.3
SI-7 (6),5.10.1.3
SI-7 (5),5.10.1.3
SI-7 (4),5.10.1.3
SI-7 (3),5.10.1.3
SI-7 (2),5.10.1.3
SI-7 (1),5.10.1.3
SI-7,5.10.1.3
IA-7,5.10.1.3
SC-13 (4),5.10.1.3
SC-13 (3),5.10.1.3
SC-13 (2),5.10.1.3
SC-13 (1),5.10.1.3
SC-13,5.10.1.3
SI-7 (16),5.10.4.1
SI-7 (15),5.10.4.1
SI-7 (14)(b),5.10.4.1
SI-7 (14)(a),5.10.4.1
SI-7 (14),5.10.4.1
SI-7 (13),5.10.4.1
SI-7 (12),5.10.4.1
SI-7 (11),5.10.4.1
SI-7 (10),5.10.4.1
SI-7 (9),5.10.4.1
SI-7 (8),5.10.4.1
SI-7 (7),5.10.4.1
SI-7 (6),5.10.4.1
SI-7 (5),5.10.4.1
SI-7 (4),5.10.4.1
SI-7 (3),5.10.4.1
SI-7 (2),5.10.4.1
SI-7 (1),5.10.4.1
SI-7,5.10.4.1
CM-11 (2),5.10.4.1
CM-11 (1),5.10.4.1
CM-11c.,5.10.4.1
CM-11b.,5.10.4.1
CM-11a.,5.10.4.1
CM-11,5.10.4.1
SI-2 (6),5.10.4.1
SI-2 (5),5.10.4.1
SI-2 (4),5.10.4.1
SI-2 (3)(b),5.10.4.1
SI-2 (3)(a),5.10.4.1
SI-2 (3),5.10.4.1
SI-2 (2),5.10.4.1
SI-2 (1),5.10.4.1
SI-2d.,5.10.4.1
SI-2c.,5.10.4.1
SI-2b.,5.10.4.1
SI-2a.,5.10.4.1
SI-2,5.10.4.1
AC-6 (1),5.10.4.1
AC-6 (2),5.10.4.1
AC-6 (3),5.10.4.1
AC-6 (4),5.10.4.1
AC-6 (5),5.10.4.1
AC-6 (6),5.10.4.1
AC-6 (7)(b),5.10.4.1
AC-6 (7)(a),5.10.4.1
AC-6 (7),5.10.4.1
AC-6 (8),5.10.4.1
AC-6 (9),5.10.4.1
AC-6 (10),5.10.4.1
AC-6,5.10.4.1
CM-7a.,5.13.1.3
CM-7b.,5.13.1.3
CM-7 (1)(b),5.13.1.3
CM-7 (1)(a),5.13.1.3
CM-7 (1),5.13.1.3
CM-7 (2),5.13.1.3
CM-7 (3),5.13.1.3
CM-7 (4)(c),5.13.1.3
CM-7 (4)(b),5.13.1.3
CM-7 (4)(a),5.13.1.3
CM-7 (4),5.13.1.3
CM-7 (5)(c),5.13.1.3
CM-7 (5)(b),5.13.1.3
CM-7 (5)(a),5.13.1.3
CM-7 (5),5.13.1.3
CM-7,5.13.1.3
MP-7 (2),5.13.1.3
MP-7 (1),5.13.1.3
MP-7,5.13.1.3
AU-10 (5),5.4.1.1
AU-10 (4)(b),5.4.1.1
AU-10 (4)(a),5.4.1.1
AU-10 (4),5.4.1.1
AU-10 (3),5.4.1.1
AU-10 (2)(b),5.4.1.1
AU-10 (2)(a),5.4.1.1
AU-10 (2),5.4.1.1
AU-10 (1)(b),5.4.1.1
AU-10 (1)(a),5.4.1.1
AU-10 (1),5.4.1.1
AU-10,5.4.1.1
AU-12 (3),5.4.1.1
AU-12 (2),5.4.1.1
AU-12 (1),5.4.1.1
AU-12c.,5.4.1.1
AU-12b.,5.4.1.1
AU-12a.,5.4.1.1
AU-12,5.4.1.1
IR-5 (1),5.4.1.1
IR-5,5.4.1.1
AC-6 (1),5.4.1.1
AC-6 (2),5.4.1.1
AC-6 (3),5.4.1.1
AC-6 (4),5.4.1.1
AC-6 (5),5.4.1.1
AC-6 (6),5.4.1.1
AC-6 (7)(b),5.4.1.1
AC-6 (7)(a),5.4.1.1
AC-6 (7),5.4.1.1
AC-6 (8),5.4.1.1
AC-6 (9),5.4.1.1
AC-6 (10),5.4.1.1
AC-6,5.4.1.1
AU-9 (6),5.4.1.1
AU-9 (5),5.4.1.1
AU-9 (4),5.4.1.1
AU-9 (3),5.4.1.1
AU-9 (2),5.4.1.1
AU-9 (1),5.4.1.1
AU-9,5.4.1.1
AU-4 (1),5.4.1.1
AU-4,5.4.1.1
AU-11 (1),5.4.1.1
AU-11,5.4.1.1
AU-3 (2),5.4.1.1
AU-3 (1),5.4.1.1
AU-3,5.4.1.1
IA-2 (13),5.5.2
IA-2 (12),5.5.2
IA-2 (11),5.5.2
IA-2 (10),5.5.2
IA-2 (9),5.5.2
IA-2 (8),5.5.2
IA-2 (7),5.5.2
IA-2 (6),5.5.2
IA-2 (5),5.5.2
IA-2 (4),5.5.2
IA-2 (3),5.5.2
IA-2 (2),5.5.2
IA-2 (1),5.5.2
IA-2,5.5.2
AC-6 (1),5.5.2
AC-6 (2),5.5.2
AC-6 (3),5.5.2
AC-6 (4),5.5.2
AC-6 (5),5.5.2
AC-6 (6),5.5.2
AC-6 (7)(b),5.5.2
AC-6 (7)(a),5.5.2
AC-6 (7),5.5.2
AC-6 (8),5.5.2
AC-6 (9),5.5.2
AC-6 (10),5.5.2
AC-6,5.5.2
AC-9 (4),5.5.2
AC-9 (3),5.5.2
AC-9 (2),5.5.2
AC-9 (1),5.5.2
AC-9,5.5.2
AC-6 (1),5.5.2.2
AC-6 (2),5.5.2.2
AC-6 (3),5.5.2.2
AC-6 (4),5.5.2.2
AC-6 (5),5.5.2.2
AC-6 (6),5.5.2.2
AC-6 (7)(b),5.5.2.2
AC-6 (7)(a),5.5.2.2
AC-6 (7),5.5.2.2
AC-6 (8),5.5.2.2
AC-6 (9),5.5.2.2
AC-6 (10),5.5.2.2
AC-6,5.5.2.2
AC-10,5.5.2.2
AC-3 (10),5.5.6
AC-3 (9)(b),5.5.6
AC-3 (9)(a),5.5.6
AC-3 (9),5.5.6
AC-3 (8),5.5.6
AC-3 (7),5.5.6
AC-3 (6),5.5.6
AC-3 (5),5.5.6
AC-3 (4)(e),5.5.6
AC-3 (4)(d),5.5.6
AC-3 (4)(c),5.5.6
AC-3 (4)(b),5.5.6
AC-3 (4)(a),5.5.6
AC-3 (4),5.5.6
AC-3 (3)(c),5.5.6
AC-3 (3)(b)(5),5.5.6
AC-3 (3)(b)(4),5.5.6
AC-3 (3)(b)(3),5.5.6
AC-3 (3)(b)(2),5.5.6
AC-3 (3)(b)(1),5.5.6
AC-3 (3)(b),5.5.6
AC-3 (3)(a),5.5.6
AC-3 (3),5.5.6
AC-3 (2),5.5.6
AC-3 (1),5.5.6
AC-3,5.5.6
SA-8,5.5.6
AC-12 (1)(b),5.5.6
AC-12 (1)(a),5.5.6
AC-12 (1),5.5.6
AC-12,5.5.6
SC-10,5.5.6
IA-7,5.5.6
SI-7 (16),5.5.6
SI-7 (15),5.5.6
SI-7 (14)(b),5.5.6
SI-7 (14)(a),5.5.6
SI-7 (14),5.5.6
SI-7 (13),5.5.6
SI-7 (12),5.5.6
SI-7 (11),5.5.6
SI-7 (10),5.5.6
SI-7 (9),5.5.6
SI-7 (8),5.5.6
SI-7 (7),5.5.6
SI-7 (6),5.5.6
SI-7 (5),5.5.6
SI-7 (4),5.5.6
SI-7 (3),5.5.6
SI-7 (2),5.5.6
SI-7 (1),5.5.6
SI-7,5.5.6
SC-13 (4),5.5.6
SC-13 (3),5.5.6
SC-13 (2),5.5.6
SC-13 (1),5.5.6
SC-13,5.5.6
IA-2 (13),5.5.6
IA-2 (12),5.5.6
IA-2 (11),5.5.6
IA-2 (10),5.5.6
IA-2 (9),5.5.6
IA-2 (8),5.5.6
IA-2 (7),5.5.6
IA-2 (6),5.5.6
IA-2 (5),5.5.6
IA-2 (4),5.5.6
IA-2 (3),5.5.6
IA-2 (2),5.5.6
IA-2 (1),5.5.6
IA-2,5.5.6
AC-6 (1),5.5.6
AC-6 (2),5.5.6
AC-6 (3),5.5.6
AC-6 (4),5.5.6
AC-6 (5),5.5.6
AC-6 (6),5.5.6
AC-6 (7)(b),5.5.6
AC-6 (7)(a),5.5.6
AC-6 (7),5.5.6
AC-6 (8),5.5.6
AC-6 (9),5.5.6
AC-6 (10),5.5.6
AC-6,5.5.6
IA-7,5.6.2.2